Title,Artist,Gender,Earliest Date,Latest Date,Department,Culture,Country,Object Link
Sea Dragon,,,1700,1799,Musical Instruments,Italian,Italy,https://www.metmuseum.org/art/collection/search/501492
Guitar,Giacomo (Jacob) Ertel,,1667,1700,Musical Instruments,Italian,Italy,https://www.metmuseum.org/art/collection/search/503155
Virginal,,,1501,1600,Musical Instruments,Italian,Italy,https://www.metmuseum.org/art/collection/search/503043
Grand Piano,Bartolomeo Cristofori,,1720,1720,Musical Instruments,Italian (Florence),Italy,https://www.metmuseum.org/art/collection/search/501788
Harpsichord,Michele Todini,,1665,1675,Musical Instruments,Italian (Roman),Italy,https://www.metmuseum.org/art/collection/search/502377
Francesca Violin,Antonio Stradivari,,1694,1694,Musical Instruments,Italian (Cremona),Italy,https://www.metmuseum.org/art/collection/search/503010
Rebecchino,,,1400,1440,Musical Instruments,Italian,Italy,https://www.metmuseum.org/art/collection/search/503048
Sho,,,19th Century,19th Century,Musical Instruments,Japanese,Japan,https://www.metmuseum.org/art/collection/search/502833
Koto (箏),,,20th Century,20th Century,Musical Instruments,Japanese,Japan,https://www.metmuseum.org/art/collection/search/503340
Densho,,,19th Century,19th Century,Musical Instruments,Japanese,Japan,https://www.metmuseum.org/art/collection/search/502402
Suzu,,,1601,1700,Musical Instruments,Japanese,Japan,https://www.metmuseum.org/art/collection/search/500655
Shō,,,1801,1900,Musical Instruments,Japanese,Japan,https://www.metmuseum.org/art/collection/search/503052
Koto (箏),"Metalwork by Goto Teijo, 9th generation Goto master, Japan",,1600,1625,Musical Instruments,Japanese,Japan,https://www.metmuseum.org/art/collection/search/505626
O-daiko,Kodenji Hayashi,,1873,1873,Musical Instruments,Japanese,Japan,https://www.metmuseum.org/art/collection/search/501802
Chongak Kayagum,Kim Kwang Ju,,,,Musical Instruments,Korean,Korea,https://www.metmuseum.org/art/collection/search/503206
Double Whistle,,,600,899,Musical Instruments,Mayan,Mexico,https://www.metmuseum.org/art/collection/search/503940
Nyonganyonga,,,1895,1905,Musical Instruments,Possibly Barwe People,Mozambique,https://www.metmuseum.org/art/collection/search/503679
Soprano Recorder in B,Thomas Coenraet Boekhout,,,,Musical Instruments,Dutch,Netherlands,https://www.metmuseum.org/art/collection/search/501523
Oboe in C,Hendrik Richters,,1727,1727,Musical Instruments,Dutch,Netherlands,https://www.metmuseum.org/art/collection/search/503673
Eroro,,,19th Century,19th Century,Musical Instruments,Benin,Nigeria,https://www.metmuseum.org/art/collection/search/503936
Hardanger Fiddle,,,1786,1786,Musical Instruments,Norwegian,Norway,https://www.metmuseum.org/art/collection/search/505825
Dadabuan,,,1801,1900,Musical Instruments,Philippine (Mindanao),Philippines,https://www.metmuseum.org/art/collection/search/503200
Kora,Mamadou Kouyaté (d. 1991)  (bridge by Djimo Kouyaté),,1955,1965,Musical Instruments,"Mandinka people, Senegambia",Senegal,https://www.metmuseum.org/art/collection/search/503060
Guitar,Joseph de Frías,,1760,1800,Musical Instruments,Spanish,Spain,https://www.metmuseum.org/art/collection/search/503440
Guitar,Manuel Ramírez,,1901,1925,Musical Instruments,Spanish,Spain,https://www.metmuseum.org/art/collection/search/503283
Sō Sām Sāi,,,1800,1899,Musical Instruments,Thai,Thailand,https://www.metmuseum.org/art/collection/search/500928
Double Virginal,Lodewijck Grouwels,,1600,1600,Musical Instruments,Flemish,The Netherlands,https://www.metmuseum.org/art/collection/search/501767
Ennanga,Ganda,,19th Century,19th Century,Musical Instruments,Ganda people,Uganda,https://www.metmuseum.org/art/collection/search/501536
Division Viol,Barak Norman,,1692,1692,Musical Instruments,British,United Kingdom,https://www.metmuseum.org/art/collection/search/503396
Grand Pianoforte,Érard,,1820,1860,Musical Instruments,British,United Kingdom,https://www.metmuseum.org/art/collection/search/503046
Division Viol,Richard Meares,,1660,1700,Musical Instruments,British,United Kingdom,https://www.metmuseum.org/art/collection/search/503219
Guitar,Christian Frederick Martin,,1831,1841,Musical Instruments,American,United States,https://www.metmuseum.org/art/collection/search/503933
Courting flute (siyotanka),,,1850,1900,Musical Instruments,Native American (Sioux),United States,https://www.metmuseum.org/art/collection/search/502914
Pipe Organ,Thomas Appleton,,1830,1830,Musical Instruments,American,United States,https://www.metmuseum.org/art/collection/search/503670
Square Piano,Robert Nunns,,1853,1853,Musical Instruments,American,United States,https://www.metmuseum.org/art/collection/search/503678
Chegah-Skah-Hdah (dance wand),,,1801,1900,Musical Instruments,Native American (Sioux),United States,https://www.metmuseum.org/art/collection/search/501213
Tsii' Edo' Ai (Apache fiddle),Athabascan Family,,1895,1905,Musical Instruments,Native American (Apache),United States,https://www.metmuseum.org/art/collection/search/502761
Mandolin,Angelo Mannello,,1890,1910,Musical Instruments,American,United States,https://www.metmuseum.org/art/collection/search/503675
